GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
82953,0.76,-0.07,9.56,0.02,-0.02,-0.00,3
82961,0.83,-0.06,9.45,0.03,-0.02,-0.00,3
82970,0.88,-0.08,9.36,0.03,-0.02,-0.00,3
82979,0.91,-0.10,9.32,0.03,-0.02,-0.00,3
82988,0.91,-0.10,9.31,0.02,-0.02,-0.00,3
82996,0.84,-0.12,9.32,0.02,-0.01,-0.00,3
83005,0.78,-0.09,9.39,0.02,-0.02,-0.00,3
83014,0.79,-0.07,9.50,0.02,-0.02,0.00,3
83023,0.79,-0.05,9.54,0.02,-0.02,0.00,3
83031,0.80,-0.07,9.54,0.03,-0.02,0.00,3
83040,0.81,-0.06,9.51,0.03,-0.01,-0.00,3
83049,0.85,-0.06,9.40,0.03,-0.01,-0.00,3
83058,0.86,-0.09,9.36,0.02,-0.01,-0.00,3
83066,0.85,-0.07,9.40,0.02,-0.02,-0.00,3
83075,0.85,-0.09,9.37,0.02,-0.01,-0.00,3
83084,0.86,-0.12,9.35,0.02,-0.00,-0.00,3
83093,0.79,-0.13,9.43,0.02,-0.01,0.00,3
83101,0.76,-0.12,9.54,0.02,-0.02,0.00,3
83110,0.75,-0.10,9.61,0.03,-0.02,0.00,3
83119,0.76,-0.07,9.55,0.03,-0.03,-0.00,3
83128,0.77,-0.11,9.49,0.03,-0.03,-0.00,3
83136,0.81,-0.10,9.37,0.02,-0.03,-0.00,3
83145,0.86,-0.05,9.35,0.01,-0.03,-0.01,3
83153,0.84,-0.06,9.36,0.01,-0.03,-0.01,3
83162,0.83,-0.08,9.38,0.01,-0.02,-0.01,3
83170,0.83,-0.07,9.44,0.02,-0.01,-0.00,3
83178,0.81,-0.08,9.43,0.03,0.00,-0.00,3
83186,0.81,-0.09,9.41,0.03,0.01,0.00,3
83196,0.85,-0.08,9.42,0.04,0.01,0.00,3
83204,0.85,-0.08,9.33,0.03,-0.01,0.01,3
83213,0.84,-0.09,9.37,0.03,-0.02,0.01,3
83223,0.82,-0.10,9.39,0.01,-0.03,0.00,3
83232,0.79,-0.09,9.49,0.01,-0.04,-0.00,3
83241,0.73,-0.11,9.60,0.01,-0.03,-0.00,3
83249,0.73,-0.09,9.63,0.01,-0.02,-0.01,3
83258,0.75,-0.10,9.57,0.02,-0.02,-0.01,3
83266,0.79,-0.11,9.53,0.02,-0.03,-0.01,3
83275,0.84,-0.10,9.45,0.03,-0.02,-0.01,3
83284,0.88,-0.10,9.37,0.03,-0.01,-0.00,3
83293,0.85,-0.10,9.31,0.03,-0.01,-0.00,3
83301,0.88,-0.10,9.30,0.03,-0.00,0.00,3
83310,0.89,-0.09,9.24,0.02,-0.00,0.00,3
83319,0.87,-0.11,9.31,0.01,-0.01,0.00,3
83328,0.84,-0.09,9.45,0.01,-0.02,0.00,3
83336,0.80,-0.09,9.50,0.01,-0.03,0.00,3
83345,0.76,-0.06,9.54,0.02,-0.02,0.00,3
83353,0.73,-0.05,9.54,0.02,-0.02,-0.00,3
83362,0.76,-0.06,9.54,0.02,-0.02,-0.00,3
83370,0.77,-0.06,9.50,0.02,-0.02,-0.01,3
83379,0.82,-0.08,9.40,0.02,-0.02,-0.01,3
83388,0.81,-0.09,9.39,0.01,-0.02,-0.01,3
83396,0.82,-0.11,9.43,0.02,-0.03,-0.01,3
83405,0.81,-0.11,9.42,0.02,-0.02,-0.00,3
83414,0.80,-0.15,9.42,0.02,-0.01,0.00,3
83423,0.85,-0.16,9.44,0.03,-0.01,0.01,3
83431,0.86,-0.15,9.38,0.03,-0.02,0.01,3
83440,0.87,-0.13,9.34,0.03,-0.03,0.01,3
83449,0.84,-0.09,9.38,0.02,-0.03,0.01,3
83458,0.80,-0.09,9.46,0.01,-0.03,0.01,3
83466,0.79,-0.08,9.49,0.01,-0.02,0.00,3
83475,0.79,-0.06,9.50,0.01,-0.02,-0.00,3
83484,0.82,-0.06,9.49,0.02,-0.02,-0.01,3
